CORE-ID,CDISC Rule ID,Organization,Standard Name,Standard Version,Status,Sensitivity,Rule Type,Executability,Scope,Error Message,Output Variables,Description,Check,Operations
,,,,,,,,,,,,,,
,,,,,Draft,,,,,,,,,
,CG0033,CDISC,SDTMIG,"3.4,3.2,3.3",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",Planned Visit Value cannot be found Trial Visit (TV) domain,,Verify that visitnum is planned and exists in TV,"{'all': [{'name': 'VISITNUM', 'operator': 'non_empty'}, {'domain': 'is_not_contained_by', 'name': 'VISTNUM', 'operator': 'get_dataset', 'value': {'Target': 'VISITNUM', 'comparator': '$tv_visitnum'}}, {'domain': 'not_equal_to', 'operator': 'get_dataset', 'value': {'Target': 'SVUPRES', 'comparator': '$tv_svupres'}}]}","{'domain': 'TV', 'id': '$tv_visitnum', 'name': 'VISITNUM', 'operator': 'distinct'},{'domain': 'SV', 'id': ""$sv_svpressp = 'Y'"", 'name': 'VISITNUM', 'operator': 'distinct'}"
,3,CDISC,"SENDIG,SENDIG-DART","3.1,3.1.1,3.0,1.1",Draft,Dataset,Variable Metadata Check,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL']}}",Variable label length should be less than or equal to 40 characters,,Raise an error if variable label length > 40 characters,"{'all': [{'name': 'variable_label', 'operator': 'longer_than', 'value': 40}]}",
,19,CDISC,"SENDIG,SENDIG-DART","3.0,3.1,3.1.1,1.1",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['FINDINGS']}, 'Domains': {'Include': ['ALL']}}","--TESTCD value cannot contain characters other than letters, numbers or underscores",--TESTCD,"Raise an error when --TESTCD contains anything else than a letter, number or underscore","{'any': [{'name': '--TESTCD', 'operator': 'not_matches_regex', 'value': '^[A-Z0-9_]*$'}]}",
,5,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,"{'Classes': {'Include': ['ALL']}, 'Subclasses': {'Include': ['ALL']}, 'Data_Structures': {'Include': ['ADAM OTHER', 'BASIC DATA STRUCTURE', 'OCCURRENCE DATA STRUCTURE', 'SUBJECT LEVEL ANALYSIS DATASET']}}","Variable with a suffix of FL does not has a value  Y, N or null",,"A variable with a suffix of FL must have a value Y, N or null","{'all': [{'operator': 'is_not_contained_by', 'value': ['Y', 'N', '']}]}",
,17,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,"{'Datasets': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL'], 'include_split_datasets': True}, 'Subclasses': {'Include': ['ALL']}, 'Data_Structures': {'Include': ['ALL']}}",Variable value is greather than 200 characters long,,Variable Value must not be greather than 200 characters long,"{'all': [{'name': 'variable_data_type', 'operator': 'equal_to', 'value': 'Char'}, {'operator': 'longer_than', 'value': 200}]}",
,70,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,{'Data_Structures': {'Include': ['SUBJECT LEVEL ANALYSIS DATASET']}},"Variable with a suffix of FN does must have the value  Y, N or null",variable_name,"'A variable with a suffix of FN must have a value that is not 0, 1 or null'","{'all': [{'name': 'variable_name', 'operator': 'starts_with', 'value': 'TR'}, {'name': 'variable_name', 'operator': 'contains', 'value': 'AG'}, {'name': 'variable_name', 'operator': 'ends_with', 'value': 'N'}, {'name': 'Root_variable_name', 'operator': 'not_exists'}]}",
,71,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,{'Data_Structures': {'Include': ['SUBJECT LEVEL ANALYSIS DATASET']}},ARM variable is not present in ADSL,"ARM,ACTARM","'ARM as A CORE Variable,  Is Required in ADSL'","{'all': [{'name': 'ARM', 'operator': 'not_exists'}]}",
,16,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Variable Metadata Check,Fully Executable,"{'Datasets': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL'], 'include_split_datasets': True}, 'Subclasses': {'Include': ['ALL']}, 'Data_Structures': {'Include': ['ALL']}}",Label must be less than 40 charatcters,"variable_label,variable_name",,"{'all': [{'name': 'variable_label', 'operator': 'longer_than', 'value': 40}]}",
,13,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Variable Metadata Check,Fully Executable,"{'Datasets': {'Include': ['ALL']}, 'Domains': {'Include': ['ALL'], 'include_split_datasets': True}, 'Subclasses': {'Include': ['ALL']}, 'Data_Structures': {'Include': ['ALL']}}",Variable name must be less than 8 charatcters,"variable_name,variable_label",,"{'all': [{'name': 'variable_name', 'operator': 'longer_than', 'value': 8}]}",
,54,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",,Record,Record Data,Fully Executable,{'Data_Structures': {'Include': ['SUBJECT LEVEL ANALYSIS DATASET']}},"Duplicate USUBJIDs "":"" Only one USUBJID record permitted","USUBJID,STUDYID",,"{'all': [{'comparator': '', 'context': '', 'name': 'USUBJID', 'operator': 'has_same_values'}]}",
CDISC.ADAMIG.AD0001,1,CDISC,ADaMIG,1.3,Draft,Dataset,Domain Presence Check,Fully Executable,"{'Domains': {'Include': ['ALL']}, 'Data_Structures': {'Include': ['ALL']}}",ADSL dataset does not exist,,The ADSL dataset must exist,"{'all': [{'name': 'ADSL', 'operator': 'not_exists'}]}",
CDISC.ADAMIG.AD0006,6,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,"{'Subclasses': {'Include': ['ALL']}, 'Data_Structures': {'Include': ['ADAM OTHER', 'BASIC DATA STRUCTURE', 'OCCURRENCE DATA STRUCTURE', 'SUBJECT LEVEL ANALYSIS DATASET']}}","Variable with a suffix of FN does must have the value  Y, N or null","--FL,--FN","'A variable with a suffix of FN must have a value that is not 0, 1 or null'","{'all': [{'name': ""variable_name ending in 'FL'"", 'operator': 'exists'}, {'name': '(ROOT|FN)', 'operator': 'exists'}, {'name': '(ROOT|FN)', 'operator': 'not_contains_all', 'value': '(0,1)'}, {'name': '(ROOT|FN)', 'operator': 'non_empty'}]}",
CDISC.ADAMIG.AD0019,19,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,{'Data_Structures': {'Include': ['SUBJECT LEVEL ANALYSIS DATASET']}},"The values of COMPLFL are not following the ""Y, N"" codelist",COMPLFL,Raise an error when COMPLFL is present and has a value that is not Y or N,"{'all': [{'name': 'COMPLFL', 'operator': 'exists'}, {'name': 'COMPLFL', 'operator': 'is_not_contained_by', 'value': ['Y', 'N']}]}",
CDISC.ADAMIG.AD0020,20,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,{'Data_Structures': {'Include': ['SUBJECT LEVEL ANALYSIS DATASET']}},"The values of FASFL are not following the ""Y, N"" codelist",FASFL,Raise an error when FASFL is present and has a value that is not Y or N,"{'all': [{'name': 'FASFL', 'operator': 'exists'}, {'name': 'FASFL', 'operator': 'is_not_contained_by', 'value': ['Y', 'N']}]}",
CDISC.ADAMIG.AD0021,21,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,{'Data_Structures': {'Include': ['SUBJECT LEVEL ANALYSIS DATASET']}},"The values of ITTFL are not following the ""Y, N"" codelist",ITTFL,Raise an error when ITTFL is present and has a value that is not Y or N,"{'all': [{'name': 'ITTFL', 'operator': 'exists'}, {'name': 'ITTFL', 'operator': 'is_not_contained_by', 'value': ['Y', 'N']}]}",
CDISC.ADAMIG.AD0022,22,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,{'Data_Structures': {'Include': ['SUBJECT LEVEL ANALYSIS DATASET']}},"The values of PPROTFL are not following the ""Y, N"" codelist",PPROTFL,Raise an error when PPROTFL is present and has a value that is not Y or N,"{'all': [{'name': 'PPROTFL', 'operator': 'exists'}, {'name': 'PPROTFL', 'operator': 'is_not_contained_by', 'value': ['Y', 'N']}]}",
CDISC.ADAMIG.AD0023,23,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,{'Data_Structures': {'Include': ['SUBJECT LEVEL ANALYSIS DATASET']}},"The values of SAFFL are not following the ""Y, N"" codelist",SAFFL,Raise an error when SAFFL is present and has a value that is not Y or N,"{'all': [{'name': 'SAFFL', 'operator': 'exists'}, {'name': 'SAFFL', 'operator': 'is_not_contained_by', 'value': ['Y', 'N']}]}",
CDISC.ADAMIG.AD0024,24,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,{'Data_Structures': {'Include': ['SUBJECT LEVEL ANALYSIS DATASET']}},"The values of RANDFL are not following the ""Y, N"" codelist",RANDFL,Raise an error when RANDFL is present and has a value that is not Y or N,"{'all': [{'name': 'RANDFL', 'operator': 'exists'}, {'name': 'RANDFL', 'operator': 'is_not_contained_by', 'value': ['Y', 'N']}]}",
CDISC.ADAMIG.AD0025,25,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,{'Data_Structures': {'Include': ['SUBJECT LEVEL ANALYSIS DATASET']}},"The values of ENRLFL are not following the ""Y, N"" codelist",ENRLFL,Raise an error when ENRLFL is present and has a value that is not Y or N,"{'all': [{'name': 'ENRLFL', 'operator': 'exists'}, {'name': 'ENRLFL', 'operator': 'is_not_contained_by', 'value': ['Y', 'N']}]}",
CDISC.ADAMIG.AD0026,26,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,{'Data_Structures': {'Include': ['SUBJECT LEVEL ANALYSIS DATASET']}},Some values of COMPLFN are not equal to 1 or 0,COMPLFN,Raise an error when COMPLFN is present and has a value that is not 1 or 0,"{'all': [{'name': 'COMPLFN', 'operator': 'exists'}, {'name': 'COMPLFN', 'operator': 'is_not_contained_by', 'value': [1, 0]}]}",
CDISC.ADAMIG.AD0027,27,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,{'Data_Structures': {'Include': ['SUBJECT LEVEL ANALYSIS DATASET']}},Some values of FASFN are not equal to 1 or 0,FASFN,Raise an error when FASFN is present and has a value that is not 1 or 0,"{'all': [{'name': 'FASFN', 'operator': 'exists'}, {'name': 'FASFN', 'operator': 'is_not_contained_by', 'value': [1, 0]}]}",
CDISC.ADAMIG.AD0028,28,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,{'Data_Structures': {'Include': ['SUBJECT LEVEL ANALYSIS DATASET']}},Some values of ITTFN are not equal to 1 or 0,ITTFN,Raise an error when ITTFN is present and has a value that is not 1 or 0,"{'all': [{'name': 'ITTFN', 'operator': 'exists'}, {'name': 'ITTFN', 'operator': 'is_not_contained_by', 'value': [1, 0]}]}",
CDISC.ADAMIG.AD0029,29,CDISC,ADaMIG,"1.3,1.2,1.1,1.0",Draft,Record,Record Data,Fully Executable,{'Data_Structures': {'Include': ['SUBJECT LEVEL ANALYSIS DATASET']}},Some values of PPROTFN are not equal to 1 or 0,PPROTFN,Raise an error when PPROTFN is present and has a value that is not 1 or 0,"{'all': [{'name': 'PPROTFN', 'operator': 'exists'}, {'name': 'PPROTFN', 'operator': 'is_not_contained_by', 'value': [1, 0]}]}",
